"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","2","99.0","0.0","0.0"
"2","2","2","99.0","0.0","0.0"
"3","2","4","98.0","0.0","0.0"
"4","2","4","98.0","0.0","0.0"
"5","2","5","97.0","0.0","0.0"
"6","2","5","97.0","0.0","0.0"
"7","2","6","96.0","0.0","0.0"
"8","2","6","96.0","0.0","0.0"
"9","2","6","110.0","0.0","0.0"
"10","2","6","110.0","0.0","0.0"
"11","2","7","109.0","0.0","0.0"
"12","2","7","109.0","0.0","0.0"
"13","2","7","108.0","0.0","0.0"
"14","2","7","108.0","0.0","0.0"
"15","2","7","107.0","0.0","0.0"
"16","2","7","107.0","0.0","0.0"
"17","2","7","106.0","0.0","0.0"
"18","2","7","106.0","0.0","0.0"
"Średnia","1.0857142857142856","2.942857142857143","56.0","0.0","0.0"
